title,track,mode,region,level,deadline,description,format,eligibility,howToApply,tags,applyUrl,officialUrl
"Yale Model United Nations (YMUN) 2026","MUN","In-Person","North America","HS","TBA","YMUN is one of the most selective and competitive high school MUN conferences in the world and is hosted by Yale students in New Haven. It is known for intense committee dynamics strong chairing and a serious awards culture. Delegations attend for both academic rigor and the credibility that comes with performing well on a top circuit conference.","Opening ceremonies -> Committee sessions -> Moderated and unmoderated caucus -> Draft resolution or crisis directives -> Voting procedure -> Closing and awards","High school students typically Grades 9-12 registering via a school delegation or independent delegation as allowed","1. Review dates and deadlines. 2. Register as a delegation or independent group. 3. Pay fees if required. 4. Submit position papers by the stated deadline if applicable","mun|highschool|prestige|in-person|awards","https://ymun.org/dates-deadlines","https://ymun.org/"
"Ivy League Model United Nations Conference (ILMUNC) 2026","MUN","In-Person","North America","HS","TBA","ILMUNC is a major high school MUN conference hosted by the University of Pennsylvania and is widely seen as a core stop on the elite US circuit. It is known for high quality committees and a competitive delegate pool drawn from strong programs worldwide. Many teams treat it as a benchmark conference for awards performance and delegate development.","Opening ceremonies -> Committee sessions -> Topic briefings -> Resolution writing -> Debate and voting -> Closing and awards","High school students typically Grades 9-12 attending through school delegations and approved independent delegations","1. Visit the conference schedule and registration pages. 2. Register your delegation. 3. Complete payment. 4. Submit required documents and position papers if requested","mun|highschool|ivy-league|in-person|awards","https://www.ilmunc.com/conference-schedule","https://www.ilmunc.com/"
"Harvard Model United Nations (HMUN) 2026","MUN","In-Person","North America","HS","TBA","HMUN is one of the most globally recognized high school MUN conferences and is hosted by Harvard students in Boston. It combines strong procedure training with high pressure committee environments that reward preparation and speaking skill. For many schools it is a prestige flagship event that helps validate the strength of a delegation program.","Opening ceremonies -> Committee sessions -> Speaker list debate -> Resolution drafting -> Voting procedure -> Closing and awards","High school students typically Grades 9-12 usually through a school delegation with faculty advisor","1. Create or access the delegation account. 2. Register your school delegation. 3. Pay conference fees. 4. Submit position papers and any required forms by deadlines","mun|highschool|prestige|harvard|in-person","https://www.harvardmun.org/","https://www.harvardmun.org/"
"North American Invitational Model United Nations (NAIMUN) LXIII 2026","MUN","In-Person","North America","HS","TBA","NAIMUN is a long running high school MUN conference hosted by Georgetown students and is highly respected for rigorous debate and committee depth. It attracts top programs and experienced delegates who treat it as a serious competitive conference. The Georgetown brand and consistently strong staff make it a staple for delegations aiming for elite circuit results.","Opening ceremonies -> Committee sessions -> Research briefings -> Debate and caucus -> Resolution drafting -> Voting -> Closing and awards","High school students typically Grades 9-12 attending via school delegations","1. Visit the NAIMUN site. 2. Register your delegation. 3. Complete payment steps. 4. Track assignments and submit position papers if required","mun|highschool|georgetown|prestige|in-person","https://naimun.modelun.org/naimun-63","https://naimun.modelun.org/"
"Berkeley Model United Nations (BMUN) 2026","MUN","In-Person","North America","HS","TBA","BMUN is one of the most historic high school MUN conferences and is hosted by UC Berkeley students with a massive international delegate turnout. It is famous for scale high energy committees and a strong awards culture that rewards confident speaking and coalition building. Many delegations attend for the combination of prestige and the uniquely large global delegate pool.","Opening ceremonies -> Committee sessions -> Debate and caucus -> Draft resolutions and amendments -> Voting procedure -> Closing and awards","High school students typically Grades 9-12 with school delegations and advisors","1. Register your school delegation through the BMUN site. 2. Pay fees and confirm delegate counts. 3. Receive country and committee assignments. 4. Submit position papers if requested","mun|highschool|berkeley|prestige|large-conference","http://www.bmun.org/","http://www.bmun.org/"
"NHSMUN Session I 2026","MUN","In-Person","North America","HS","TBA","NHSMUN is one of the best known international high school MUN conferences and runs in New York City with a very large and diverse delegate base. It is popular because it is accessible to many schools while still offering serious committee experiences and a strong leadership structure. The NYC setting and large committee roster make it a high impact event for both beginners and advanced delegates.","Opening ceremonies -> Committee sessions -> Debate and caucus -> Resolution drafting -> Voting procedure -> Closing and awards","High school students typically Grades 9-12 registering via school delegations","1. Create an account via the organizer portal. 2. Register your school delegation. 3. Pay required fees. 4. Submit position papers if your committees request them","mun|highschool|new-york|large-conference|awards","https://imuna.org/nhsmun/nyc/","https://imuna.org/nhsmun/nyc/"
"NHSMUN Session II 2026","MUN","In-Person","North America","HS","TBA","NHSMUN Session II offers the same major NYC high school MUN platform as Session I but on a separate weekend to expand capacity and access. It attracts a wide range of delegations including many international schools which makes bloc building and negotiation especially dynamic. It is a strong choice for delegates who want a large scale UN style experience with many committee options.","Opening ceremonies -> Committee sessions -> Debate and caucus -> Resolution drafting -> Voting procedure -> Closing and awards","High school students typically Grades 9-12 registering via school delegations","1. Register your delegation on the official NHSMUN page. 2. Confirm session choice and delegate numbers. 3. Pay fees. 4. Complete required paperwork and position papers if applicable","mun|highschool|new-york|session-ii|large-conference","https://imuna.org/nhsmun/nyc/","https://imuna.org/nhsmun/nyc/"
"EagleMUNC 2026","MUN","In-Person","North America","HS","TBA","EagleMUNC is a respected high school MUN conference hosted by Boston College and draws competitive delegations from the US and abroad. It is known for strong committee design and a tight schedule that rewards prepared delegates who can speak and write well. Many schools use it as a serious late winter or spring checkpoint on the circuit.","Opening ceremonies -> Committee sessions -> Debate and caucus -> Draft resolutions or crisis directives -> Voting -> Closing and awards","High school students typically Grades 9-12 attending via school delegations","1. Visit the EagleMUNC website. 2. Register your delegation. 3. Pay fees. 4. Submit position papers and forms if required","mun|highschool|boston|competitive|in-person","https://www.eaglemunc.org/","https://www.eaglemunc.org/"
"Harvard Model Congress (HMC) 2026","MUN","In-Person","North America","HS","TBA","Harvard Model Congress is a major academic simulation hosted by Harvard students and is closely aligned with the same competitive delegate circuit as top MUN conferences. It is valued because it trains policy writing public speaking and fast negotiation under realistic committee constraints. Delegations attend for prestige and for the intensive leadership development that translates back into MUN performance.","Opening -> Committee hearings -> Bill drafting -> Debate and amendments -> Voting -> Closing and awards","High school students typically Grades 9-12 often registering through school delegations","1. Register your school delegation. 2. Select participation options and pay fees. 3. Receive committee assignments. 4. Submit required research or papers if requested","simulation|highschool|harvard|policy|public-speaking","https://www.harvardmodelcongress.org/","https://www.harvardmodelcongress.org/"
"Harvard National Model United Nations (HNMUN) 2026","MUN","In-Person","North America","Uni","TBA","HNMUN is widely considered one of the toughest collegiate MUN competitions and is famous for high intensity crisis and fast paced committee environments. It attracts top university teams and rewards improvisation coalition building and strong writing under pressure. Even if you attend without chasing awards it is one of the most skills dense MUN experiences available.","Opening ceremonies -> Crisis training -> Committee sessions -> Crisis updates and directives -> Draft resolutions -> Voting -> Closing awards","University students typically undergraduate delegations with faculty or head delegate leadership","1. Visit the official conference site. 2. Register your delegation. 3. Pay registration fees. 4. Submit delegate information and any required documents","mun|collegiate|crisis|competitive|prestige","https://www.hnmun.org/what-is-hnmun","https://www.hnmun.org/"
"McGill Model United Nations (McMUN) 2026","MUN","In-Person","North America","Uni","TBA","McMUN is the largest collegiate MUN conference in Canada and is often treated as a serious competitive stop before other major events. It offers a wide range of committees with both traditional and crisis styles which makes it attractive to many types of delegations. It is also known for strong delegate community and high quality chairing.","Opening ceremonies -> Committee sessions -> Debate and caucus -> Resolutions or crisis directives -> Voting -> Closing and awards","University students typically undergraduate delegations","1. Create an account on the conference site. 2. Register your delegation. 3. Pay fees. 4. Submit delegate rosters and required paperwork","mun|collegiate|canada|competitive|in-person","https://www.mcmun.org/","https://www.mcmun.org/"
"National Model United Nations (NMUN) New York Conference A 2026","MUN","In-Person","North America","Uni","TBA","NMUN New York is one of the most procedure focused UN simulations and is known for emphasizing realism and diplomacy over theatrics. It is prestigious because it mirrors UN rules and documentation standards and attracts delegations from many countries. Strong performance at NMUN signals serious mastery of formal procedure and policy writing.","Opening -> Plenary sessions -> Committee sessions -> Working paper to draft resolution pipeline -> Formal voting -> Closing ceremonies","University students typically undergraduate and graduate delegates through institutions","1. Register through the NMUN portal. 2. Confirm delegation credentials and payments. 3. Complete required position papers. 4. Attend pre conference training if offered","mun|collegiate|un-procedure|new-york|policy-writing","https://www.nmun.org/conferences/new-york.html","https://www.nmun.org/"
"National Model United Nations (NMUN) New York Conference B 2026","MUN","In-Person","North America","Uni","TBA","NMUN New York Conference B runs the same UN realism model as Conference A and offers another entry point for delegations due to demand. It is respected for strict rules of procedure formal documentation and disciplined debate. Delegates who want an authentic UN style experience often choose NMUN specifically for its realism.","Opening -> Plenary sessions -> Committee sessions -> Working papers -> Draft resolutions -> Voting -> Closing","University students typically participating through their universities and institutions","1. Register via NMUN official registration steps. 2. Complete payments and delegation paperwork. 3. Submit required position papers. 4. Follow conference schedule and mandatory sessions","mun|collegiate|un-procedure|realism|new-york","https://www.nmun.org/conferences/new-york.html","https://www.nmun.org/"
"National Model United Nations (NMUN) Washington DC 2026","MUN","In-Person","North America","Uni","TBA","NMUN Washington DC applies the same realism driven approach as NMUN New York but in a different policy environment. It is appealing for delegations that want structured committee work with heavy emphasis on UN documentation and diplomacy. The DC setting also attracts delegates interested in policy careers and public service.","Opening -> Committee sessions -> Working papers -> Draft resolutions -> Voting -> Closing ceremonies","University students typically registering through institutions","1. Register the delegation on the NMUN site. 2. Pay fees and submit delegation info. 3. Complete position paper requirements. 4. Attend and follow the conference schedule","mun|collegiate|washington-dc|un-procedure|policy","https://www.nmun.org/conferences/washington-dc.html","https://www.nmun.org/"
"North American Model United Nations (NAMUN) 2026","MUN","In-Person","North America","HS","TBA","NAMUN is designed as an accessible but competitive North American MUN experience that draws schools from many regions. It is attractive because it offers a broad committee roster and a structured awards pathway that motivates delegates to prepare seriously. Many programs use it as a growth conference that still feels international and competitive.","Opening -> Committee sessions -> Debate and caucus -> Resolution drafting -> Voting -> Closing and awards","High school students typically Grades 9-12 registering via school delegations","1. Visit the NAMUN site. 2. Register your school delegation. 3. Pay fees. 4. Submit required forms and position papers if applicable","mun|highschool|north-america|in-person|awards","https://www.namun.org/","https://www.namun.org/"
"THIMUN The Hague Conference 2026","MUN","In-Person","Europe","HS","TBA","THIMUN The Hague is one of the most internationally recognized high school MUN conferences and is known for procedural rigor and high academic standards. It is prestigious because it is closely tied to the THIMUN foundation model and attracts delegations from a truly global pool. Delegates attend to sharpen formal speaking research and resolution writing in a highly structured environment.","Opening -> Committee sessions -> THIMUN procedure debate -> Resolution drafting -> Voting -> Closing and awards","Secondary school students typically ages 13-19 registering via school delegations","1. Review conference information and participation rules. 2. Register your delegation through THIMUN processes. 3. Complete payments if required. 4. Submit position papers according to committee guidance","mun|highschool|thimun|europe|procedure","https://thehague.thimun.org/de-hague-conference/","https://thehague.thimun.org/"
"LIMUN High School Conference 2026","MUN","In-Person","Europe","HS","TBA","LIMUN High School is a leading UK based MUN experience supported by the LIMUN Foundation and is designed to be both high quality and internationally welcoming. It is valued because it blends serious committee standards with strong delegate support which makes it good for both advanced and rising delegates. Many schools attend because London is accessible and the conference has strong committee culture.","Opening -> Committee sessions -> Debate and caucus -> Resolution drafting -> Voting -> Closing and awards","High school students typically Grades 9-12 registering via schools","1. Visit the LIMUN high school information page. 2. Register your delegation or interest. 3. Pay fees and confirm delegate numbers. 4. Submit required paperwork and position papers if needed","mun|highschool|london|uk|in-person","https://www.limun.org.uk/about-hs","https://www.limun.org.uk/"
"CamMUN Cambridge Model United Nations 2026","MUN","In-Person","Europe","HS","TBA","CamMUN is a well known high school MUN conference hosted by Cambridge based organizers and draws strong delegations from the UK and internationally. It is respected for academic committee topics and a serious debate culture that rewards researched interventions and polished writing. For many delegates it is a top UK prestige conference that feels global in scale.","Opening -> Committee sessions -> Debate and caucus -> Resolution drafting -> Voting -> Closing and awards","High school students typically Grades 9-12 with school delegations","1. Visit CamMUN website. 2. Register your school delegation. 3. Pay fees and confirm seats. 4. Submit position papers if requested by committees","mun|highschool|cambridge|uk|prestige","https://cammun.org/","https://cammun.org/"
"Oxford NoviceNations 2026","MUN","In-Person","Europe","HS","TBA","NoviceNations is designed specifically to train and elevate newer delegates and is hosted in Oxford with a supportive but still competitive structure. It is useful because it teaches procedural basics while still demanding clear speeches and structured negotiation. Schools often send first time delegates here to build confidence before elite conferences.","Training session -> Committee sessions -> Guided debate -> Draft resolutions -> Voting -> Closing and awards","High school students typically Grades 7-12 with many first time delegates","1. Register through the event listing. 2. Confirm delegation size and pay fees if required. 3. Receive committee assignments. 4. Attend and follow training and conference schedule","mun|highschool|beginner-friendly|oxford|training","https://www.oxfordglobal.org/events-calendar/2026/2/6/novicenations-2026","https://www.oxfordglobal.org/"
"Geneva International Model United Nations (GIMUN) 2026","MUN","In-Person","Europe","Uni","TBA","GIMUN is a Geneva based international MUN that benefits from proximity to major multilateral institutions and a highly international delegate mix. It is valued for substantive debate and a diplomacy focused culture rather than purely theatrical performance. Delegates often attend to build serious policy confidence in a city that feels like real global governance.","Opening -> Committee sessions -> Debate and caucus -> Draft resolutions -> Voting -> Closing and awards","University students typically undergraduate and graduate delegates and sometimes advanced high school delegates if permitted","1. Apply via the conference registration listing. 2. Confirm fees and participation type. 3. Receive assignments. 4. Submit position papers if required","mun|geneva|collegiate|international|policy","https://mymun.com/conferences/gimun-2026","https://mymun.com/conferences/gimun-2026"
"Harvard Model Congress Europe 2026","MUN","In-Person","Europe","HS","TBA","Harvard Model Congress Europe is a flagship policy simulation for high school students and sits on the same prestige ladder as top MUN events. It stands out for teaching US style legislative and executive process with serious research and writing expectations. Delegates attend for brand credibility and for the intense speaking and negotiation practice that carries into debate and MUN.","Opening -> Committee hearings -> Bill drafting -> Debate and amendments -> Voting -> Closing and awards","High school students typically Grades 9-12 from international schools and national programs","1. Register your school delegation. 2. Pay fees and confirm attendance. 3. Receive committee placements. 4. Submit research or drafting tasks if required","simulation|highschool|harvard|europe|policy","https://www.hmceurope.org/","https://www.hmceurope.org/"
"Change the World Model United Nations NYC 2026","MUN","In-Person","North America","HS","TBA","Change the World MUN NYC is a large international MUN experience that deliberately attracts delegates from many countries and emphasizes global citizen identity. It is popular because of scale networking and the symbolic credibility of being in New York for a diplomacy themed program. Delegates attend for a mix of debate experience leadership development and international community.","Opening -> Committee sessions -> Debate and caucus -> Draft resolutions -> Voting -> Closing ceremonies and awards","High school students typically ages 13-19 with some editions also open to university students","1. Choose the NYC program edition. 2. Register as an individual or delegation where allowed. 3. Pay fees and complete forms. 4. Submit any required documents before arrival","mun|highschool|new-york|international|large-conference","https://changetheworldacademy.org/program/nyc","https://changetheworldacademy.org/"
"FWWMUN Paris 2026","MUN","In-Person","Europe","HS/Uni","TBA","Future We Want MUN Paris is part of a global franchise series and is designed to be accessible to international participants while still delivering structured committee experiences. It is attractive because it combines debate with workshops and networking in a major global city setting. Delegates often choose it when they want an international experience without the barriers of traditional school only circuits.","Opening -> Committee sessions -> Debate and caucus -> Draft resolutions -> Voting -> Workshops and closing","High school and university students typically ages 13-19 for HS and enrolled university students for college track","1. Choose the Paris edition page. 2. Register as an individual or delegation. 3. Pay fees. 4. Submit position papers if required by committee","mun|international|paris|hs-uni|workshops","https://www.fwwmun-nyc.org/mun-paris","https://www.fwwmun-nyc.org/"
"FWWMUN London 2026","MUN","In-Person","Europe","HS/Uni","TBA","Future We Want MUN London is designed for international delegates seeking a structured MUN plus training experience in a major global capital. It is valued for accessibility and for offering a clear participation pathway for individuals not only school delegations. Many students pick it as a first international conference because registration is straightforward and the environment is supportive.","Opening -> Committee sessions -> Debate and caucus -> Draft resolutions -> Voting -> Workshops and closing","High school and university students with age and enrollment requirements depending on track","1. Visit the London edition page. 2. Register as an individual or delegation. 3. Pay fees. 4. Submit required documents and position papers if applicable","mun|london|international|hs-uni|accessible","https://www.fwwmun-nyc.org/mun-london","https://www.fwwmun-nyc.org/"
"FWWMUN Amsterdam 2026","MUN","In-Person","Europe","HS/Uni","TBA","Future We Want MUN Amsterdam is part of the same international series and attracts a mixed delegate pool across schools and universities. It stands out for combining committee debate with training style programming and a strong international social environment. Delegates often attend to gain confidence in diplomacy skills while meeting peers from many countries.","Opening -> Committee sessions -> Debate and caucus -> Draft resolutions -> Voting -> Workshops and closing","High school and university students depending on track requirements","1. Visit the Amsterdam edition page. 2. Register as individual or delegation. 3. Pay fees. 4. Follow assignment and document submission instructions","mun|amsterdam|international|hs-uni|workshops","https://www.fwwmun-nyc.org/mun-amsterdam","https://www.fwwmun-nyc.org/"
"FWWMUN Rome 2026","MUN","In-Person","Europe","HS/Uni","TBA","Future We Want MUN Rome offers an international diplomacy simulation experience in a flagship European city and is designed to be accessible for global delegates. It is popular for students who want debate practice plus a conference style program that feels like a global youth summit. Delegations often treat it as a high value international exposure event rather than a traditional circuit gavel hunt.","Opening -> Committee sessions -> Debate and caucus -> Draft resolutions -> Voting -> Workshops and closing","High school and university students with track specific requirements","1. Visit the Rome edition page. 2. Register as individual or delegation. 3. Pay fees. 4. Submit required documents and any position papers","mun|rome|international|hs-uni|summit","https://www.fwwmun-nyc.org/mun-rome","https://www.fwwmun-nyc.org/"
"FWWMUN Barcelona 2026","MUN","In-Person","Europe","HS/Uni","TBA","Future We Want MUN Barcelona is a major spring stop in the franchise network and attracts international participants looking for a high energy committee experience. It blends debate with structured programming and tends to be welcoming to individual delegates who do not come with big school teams. It is especially useful for students who want a straightforward registration process and global community exposure.","Opening -> Committee sessions -> Debate and caucus -> Draft resolutions -> Voting -> Workshops and closing","High school and university students by track","1. Open the Barcelona conference page. 2. Register as an individual or delegation. 3. Pay fees. 4. Submit required paperwork and position papers if applicable","mun|barcelona|international|hs-uni|accessible","https://mymun.com/conferences/fwwmun-barcelona-college-university-2026","https://mymun.com/conferences/fwwmun-barcelona-college-university-2026"
"MUN Madrid 2026","MUN","In-Person","Europe","HS/Uni","TBA","MUN Madrid is part of a European simulation circuit and is designed to train delegates through structured debate with a strong focus on skill growth. It is attractive because it offers multilingual options and a clear pathway for both high school and university participants. Many students attend to gain European circuit exposure and sharpen formal speaking and drafting skills.","Opening -> Committee sessions -> Debate and caucus -> Draft resolutions -> Voting -> Closing and certificates","High school and university students depending on track and edition rules","1. Visit the MUN Madrid page. 2. Select your edition and language track. 3. Complete registration steps. 4. Pay fees and submit required documents","mun|madrid|europe|hs-uni|training","https://www.munespana.es/en/mun-madrid-spain/","https://www.munespana.es/en/mun-madrid-spain/"
"Paris International Model United Nations (PIMUN) 2026","MUN","In-Person","Europe","Uni","TBA","PIMUN is one of the best known university level MUN conferences in Europe and attracts strong delegations from across the world. It is respected for substantive committee work and a serious diplomatic atmosphere. Delegates attend to test advanced negotiation skills and produce high quality written outcomes under pressure.","Opening -> Committee sessions -> Debate and caucus -> Draft resolutions -> Voting -> Closing and awards","University students typically undergraduate delegations and approved participants","1. Apply through the listed registration portal. 2. Confirm fees and participation type. 3. Receive assignments. 4. Submit position papers if required","mun|collegiate|paris|international|policy","https://mymun.com/conferences/pimun-2026","https://mymun.com/conferences/pimun-2026"
"German Model United Nations (GerMUN) 2026","MUN","In-Person","Europe","Uni","TBA","GerMUN is a major German university MUN conference known for a structured European debate culture and strong academic focus. It is a solid choice for delegates who want serious policy discussion and disciplined committee work. Many teams attend for the combination of strong chairs and an international delegate pool in a central European location.","Opening -> Committee sessions -> Debate and caucus -> Draft resolutions -> Voting -> Closing and awards","University students typically undergraduate delegations","1. Visit the official GerMUN site. 2. Register your delegation. 3. Pay fees. 4. Submit delegate information and position papers if required","mun|collegiate|germany|europe|policy","https://germun.de/about-germun/","https://germun.de/"
"MainMUN Frankfurt 2026","MUN","In-Person","Europe","Uni","TBA","MainMUN is a Frankfurt based university MUN conference that offers structured committee debate and a strong European delegate mix. It is valuable for delegates aiming to build experience in formal procedure and resolution writing with disciplined chairing. The central location and consistent scheduling make it a practical recurring option for many European teams.","Opening -> Committee sessions -> Debate and caucus -> Draft resolutions -> Voting -> Closing and awards","University students typically undergraduate and graduate delegates","1. Register via the MainMUN website. 2. Confirm fees and delegation details. 3. Receive committee assignments. 4. Submit required documents and position papers","mun|collegiate|frankfurt|europe|in-person","https://mainmun.de/","https://mainmun.de/"
"BayernMUN 2026","MUN","In-Person","Europe","Uni","TBA","BayernMUN is part of the German university MUN landscape and provides a structured committee experience that emphasizes drafting quality and negotiation skill. It is a strong choice for delegates who want competitive committee rooms without the extreme scale of mega conferences. Many teams attend to build consistent performance and leadership depth.","Opening -> Committee sessions -> Debate and caucus -> Draft resolutions -> Voting -> Closing and awards","University students typically undergraduate delegates","1. Find the conference registration instructions. 2. Register your delegation. 3. Pay fees. 4. Submit delegate rosters and any required documents","mun|collegiate|germany|europe|committee","https://www.model-un.de/en/studierende/","https://www.model-un.de/en/studierende/"
"NMUN Spain 2026","MUN","In-Person","Europe","Uni","TBA","NMUN Spain extends the NMUN realism model to Europe and maintains the same emphasis on strict procedure and formal documentation. It is prestigious because it signals mastery of UN style working paper and draft resolution pipelines. Delegates who want authentic UN process training often prioritize NMUN regional conferences.","Opening -> Plenary sessions -> Committee sessions -> Working papers -> Draft resolutions -> Voting -> Closing","University students typically participating through institutions","1. Register through NMUN. 2. Confirm delegation credentials and payments. 3. Complete position paper requirements. 4. Follow conference schedule requirements","mun|collegiate|nmun|spain|realism","https://www.nmun.org/","https://www.nmun.org/"
"Harvard Model Congress Asia (HMCA) 2026","MUN","In-Person","Asia","HS","TBA","HMCA is a high school policy simulation in Asia that attracts the same globally ambitious delegate pool as elite MUN conferences. It is strong for developing structured argumentation bill writing and public speaking under time pressure. The Harvard brand plus the Asia location makes it a popular flagship for international schools across the region.","Opening -> Committee hearings -> Bill drafting -> Debate and amendments -> Voting -> Closing and awards","High school students typically Grades 9-12 with school delegations","1. Register your delegation on the HMCA site. 2. Pay fees and confirm attendance. 3. Receive committee placements. 4. Submit required research or drafting tasks","simulation|highschool|asia|harvard|policy","https://www.hmcasia.org/","https://www.hmcasia.org/"
"Global Help Foundation MUN Australia Edition 2026","MUN","In-Person","Oceania","HS","TBA","This Australia edition MUN is positioned as an international youth diplomacy experience with committee debate and skills training. It is useful for students seeking accessible entry into conferences that still feel formal and structured. Delegates often attend to build confidence in speaking drafting and negotiation in a supportive environment.","Opening -> Committee sessions -> Debate and caucus -> Draft resolutions -> Voting -> Closing and certificates","High school students typically secondary school level depending on organizer rules","1. Open the event page. 2. Register as a delegate or through a school. 3. Pay fees if required. 4. Follow instructions for assignments and document submission","mun|highschool|australia|in-person|training","https://globalhelpfoundation.org.np/event/ghf-australia-edition-mun","https://globalhelpfoundation.org.np/event/ghf-australia-edition-mun"
